Marca;Expendeduría Euros/Cajetilla;Con Recargo Euros/Cajetilla
Nakhla El Nakhla Vainilla (50 g) CM;1,4;1,6
Nakhla Fakhfakhina Mango (50 g) CM;1,4;1,6
Nakhla Fakhfakhina Naranja (50 g) CM;1,4;1,6
Nakhla Ice Apple (50 g) CM;1,75;2
Nakhla Ice Grape Mint (50 g) CM;1,4;1,6
Nakhla Ice Raspberry Mint (50 g) CM;1,75;2
Nakhla Mizo Cereza (50 g) CM;1,75;2
Nakhla Mizo Manzana (50 g) CM;1,75;2
Nakhla Mizo Melocotón (50 g) CM;1,75;2
Nakhla Mizo Menta (50 g) CM;1,75;2
Nakhla Mizo Sandia (50 g) CM;1,75;2
Nakhla Mizo Uva (50 g) CM;1,75;2
Nakhla Orange Peach (50) CM;1,75;2
Nakhla Pastel Red (50 g) CM;1,5;1,7
Nakhla Pearly Indigo (50 g) CM;1,95;2,25
Nakhla Rosy Ochre (50 g) CM;1,95;2,25
Nakhla Ruby Red (250 g) CM;8,5;9,8
Nakhla Ruby Red (50 g) CM;1,95;2,25
Nakhla Sheherazade Choco Menta (50 g) CM;1,4;1,6
Nakhla Sheherazade Margarita (50 g) CM;1,4;1,6
Nakhla Shisha on the Beach (50 g) CM;1,75;2
Nakhla Spark Green (250 g) CM;8,5;9,8
Nakhla Sparkly Red (50 g) CM;1,95;2,25
Nakhla Tobac Molasses Surt.1 (500 g) CM;14;16,1
Nakhla Tobacco Frutas (50 g) CM;1,4;1,6
Nakhla Zaghloul Negro (50 g) CM;1,4;1,6
Nameless # Black Box Bote (50 g) CM;3,25;3,75
Nameless #07 Ice Ice Baby (200 g) CM;10,5;12,1
Nameless #105 Red Turtle Bote (50 g) CM;3,25;3,75
Nameless #107 Ice Ice Baby Bote (50 g) CM;3,25;3,75
Nameless #107 Winter is Coming Bote (50 g) CM;3,25;3,75
Nameless #109 Monkey Brain Bote (50 g) CM;3,25;3,75
Nameless #11 Adam & Eve Bote (50 g) CM;3,25;3,75
Nameless #115 Californication Bote (50 g) CM;3,25;3,75
Nameless #116 Pablo Bote (50 g) CM;3,25;3,75
Nameless #121 Boogie Bomb Bote (50 g) CM;3,25;3,75
Nameless #15 Grüner Marokkaner Bote (50 g) CM;3,25;3,75
Nameless #37 Fresh Nana (200 g) CM;10,5;12,1
Nameless #37 Fresh Nana Bote (50 g) CM;3,25;3,75
Nameless #40 Black Nana Bote (50 g) CM;3,25;3,75
Nameless #40 Dark Nana (200 g) CM;10,5;12,1
Nameless #43 Nevada Bote (50 g) CM;3,25;3,75
Nameless #45 Brasil (200g) CM;10,5;12,1
Nameless #711 L' Oasis Bote (50 g) CM;3,25;3,75
Nativo 100 G TPD (100 g) CM;5,15;5,9
Nativo 12 G TPD (12 g) CM;0,75;0,85
Nativo 20 G TPD (20 g) CM;1,15;1,3
Os African King (50 g) CM;3,2;3,7
Os African Queen (200 g) CM;12,3;14,15
Os African Queen (50 g) CM;3,2;3,7
Os Bonnie'n Clyde (50 g) CM;3,2;3,7
Os Disco (200 g) CM;12,3;14,15
Os Disco (50 g) CM;3,2;3,7
Os Lucifero (50 g) CM;3,2;3,7
Os Tobacco Bonnie'n Clyde (200 g) CM;12,3;14,15
Os Tobacco Casanova (50 g) CM;3,2;3,7
Os Tobacco Cosanostra (50 g) CM;3,2;3,7
Os Unknown (50 g) CM;3,2;3,7
Peterson 1865 Mixture (100 g) CM;18,6;21,4
Peterson Connemara Black (40 g) CM;4,5;5,2
Peterson Early Morning (50 g) CM;12,1;13,9
Peterson Founder's Choice (100 g) CM;15,35;17,65
Peterson Irish Dew (40 g) CM;4,5;5,2
Peterson My Mixture 965 (50 g) CM;12,1;13,9
Peterson Nightcap (50 g) CM;12,1;13,9
Peterson Old Dublin (50 g) CM;9,9;11,4
Peterson Sherlock Holmes (50 g) CM;11,4;13,1
Peterson Standard Mixture (50 g) CM;12,1;13,9
Shisha Kartel Big Bagman (200 g) CM;7,2;8,3
Shisha Kartel Blood Bath (50 g) CM;1,9;2,2
Shisha Kartel Capo Dei Capi (200 g) CM;7,2;8,3
Shisha Kartel Capo Dei Capi (50 g) CM;1,9;2,2
Shisha Kartel Capo Dei Capi (950 g) CM;35;40,25
Shisha Kartel Guilty Gang (50 g) CM;1,9;2,2
Shisha Kartel Krazee Kombo (50 g) CM;1,9;2,2
Shisha Kartel Mafia Madness (50 g) CM;1,9;2,2
Shisha Kartel Plata o Plomo (50 g) CM;1,9;2,2
Shisha Kartel Sexy Sheba (200 g) CM;7,2;8,3
Shisha Kartel Sexy Sheba (50 g) CM;1,9;2,2
Shisha Kartel Sexy Sheba (950 g) CM;35;40,25
Skandinavik Mixture (50 g) CM;7,5;8,6
Skandinavik Navy (50 g) CM;7,7;8,85
Social Smoke CU Chill (200 g) CM;12,5;14,4
Special Star de Luxe (90 g) CM;3,3;3,8
Stanwell Melange (50 g) CM;8;9,2
Stanwell Sungold (50 g) CM;8;9,2
Starbuzz Bold Tropikool Mist (100 g) CM;7,9;9,1
Starbuzz Regular Anjou Chill (100 g) CM;7,9;9,1
Starbuzz Regular Green Charge (100 g) CM;7,9;9,1
Starbuzz Regular Kaktus Chill (100 g) CM;7,9;9,1
Starbuzz Regular White Delight (100 g) CM;7,9;9,1
T.Radford Sunday S Fant. (50 g) CM;5,2;6
Tabacco Way - Be Happy - Golden Virginia (150 g) CM;12;13,8
Tabacco Way - Be Happy - Golden Virginia (250 g) CM;19,6;22,55
Tabacco Way - Be Happy - Golden Virginia (50 g) CM;4;4,6
Tabacco Way - Brazilian Spirit Tobacco - American Blend (150 g) - Bolsa CM;12,4;14,25
Tabacco Way - Brazilian Spirit Tobacco - American Blend (50 g) - Petaca CM;4,4;5,05
Tabacco Way - Brazilian Spirit Tobacco - Brazilian Blend (150 g) - Bolsa CM;12,4;14,25
Tabacco Way - Brazilian Spirit Tobacco - Brazilian Blend (50 g) - Petaca CM;4,4;5,05
Tabacco Way - Brazilian Spirit Tobacco - Oriental Blend (150 g) - Bolsa CM;12,4;14,25
Tabacco Way - Brazilian Spirit Tobacco - Oriental Blend (50 g) - Petaca CM;4,4;5,05
Tabacco Way - Doctor Pipe - Dark Diamond (50 g) - Lata CM;8,9;10,25
Tabacco Way - Doctor Pipe - Dark Diamond (50 g) - Petaca CM;6,2;7,15
Tabacco Way - Doctor Pipe - Dark Fired (50 g) - Lata CM;7,2;8,3
Tabacco Way - Doctor Pipe - Dark Fired (50 g) - Petaca CM;4,5;5,2
Tabacco Way - Doctor Pipe - English Blend (50 g) - Lata CM;8,9;10,25
Tabacco Way - Doctor Pipe - English Blend (50 g) - Petaca CM;6,2;7,15
Tabacco Way - Doctor Pipe - Latakia (50 g) - Lata CM;9,9;11,4
Tabacco Way - Doctor Pipe - Latakia (50 g) - Petaca CM;7,5;8,6
Tabacco Way - Doctor Pipe - Royal (50 g) - Lata CM;7,5;8,6
Tabacco Way - Doctor Pipe - Royal (50 g) - Petaca CM;5;5,75
Tabacco Way - Doctor Pipe - Scottish Mixture (50 g) - Lata CM;7,9;9,1
Tabacco Way - Doctor Pipe - Scottish Mixture (50 g) - Petaca CM;5,2;6
Tabacco Way - D'Ora - Golden Virginia (150 g) CM;12;13,8
Tabacco Way - D'Ora - Golden Virginia (250 g) CM;19,6;22,55
Tabacco Way - D'Ora - Golden Virginia (50 g) CM;4;4,6
Tarifa Shisha Africa Tropical (50 g) CM;2,75;3,15
Tarifa Shisha Arctic Flow (50 g) CM;2,75;3,15
Tarifa Shisha Bikini (50 g) CM;2,75;3,15
Tarifa Shisha Dembow (50 g) CM;2,75;3,15
Tarifa Shisha Dragon Kahn (50 g) CM;2,75;3,15
Tarifa Shisha Estampida (50 g) CM;2,75;3,15
Tarifa Shisha Granny (50 g) CM;2,75;3,15
Tarifa Shisha Malone (50 g) CM;2,75;3,15
Tarifa Shisha Pecado (50 g) CM;2,75;3,15
Touareg (40 g) CM;2,8;3,2
Touareg (60 g) CM;5;5,75
W.O .Larsen A True Delight (50 g) CM;5,15;5,9
W.O .Larsen Simply Unique (50 g) CM;5,15;5,9
W.O. Larsen 1864 (100 g) CM;18,4;21,15
W.O. Larsen Classic (100 g) CM;18,4;21,15
W.O. Larsen Edition 2013 (100 g) CM;9,8;11,25
W.O. Larsen Fresh & Elegant (50 g) CM;5,15;5,9
W.O. Larsen M.B.Golden Dream (50 g) CM;5,15;5,9
W.O. Larsen M.B.Mellow Mix (50 g) CM;5,15;5,9
W.O. Larsen M.B.Sweet Arom (50 g) CM;5,15;5,9
W.O. Larsen Mellow & Tasty (50 g) CM;5,15;5,9
W.O. Larsen Old Fashion (100 g) CM;18,4;21,15
W.O. Larsen Signature (100 g) CM;18,4;21,15
Zomo Bana Cin (50 g) CM;2;2,3
Zomo Dragon Wall (50 g) CM;2,03;2,35
Zomo Dry Sahara (50 g) CM;2,03;2,35
Zomo Ki Lem (50 g) CM;2,03;2,35
Zomo Lim Lemo (50 g) CM;2,03;2,35
Zomo Mystery of Bali (50 g) CM;2,03;2,35
Zomo Secret of Babylon (50 g) CM;2,03;2,35
Zomo Spiced Chy (50 g) CM;2;2,3
Zomo Splash Tang (50 g) CM;2;2,3
Zomo Strong Lim (50 g) CM;2;2,3
Zomo Strong MLN (50 g) CM;2,03;2,35
Zomo Strong Mnt (100 g) CM;3,95;4,55
Zomo Strong Orng (100 g) CM;3,95;4,55
Zomo Swiss Alps (50 g) CM;2,03;2,35
Zomo Tropical Amazon (100 g) CM;3,95;4,55
Zomo Wild Africa (50 g) CM;2,03;2,35
Zomo Wtrmln Mnt (100 g) CM;3,95;4,55
